Category,Phrases,Number of Words,Total Number of Letters,First Word Letters
Place,School Annex,2,11,6
Place,School Auditorium,2,16,6
Place,School Bus Stop,3,13,6
Place,School Cafeteria,2,15,6
Place,School District,2,14,6
Place,School Of Cinematic Arts,4,21,6
Place,School Of Cultural Arts,4,20,6
Place,School Playground,2,16,6
Place,Science Museum,2,13,7
Place,Screened-In Patio,2,15,10
Place,Scuba-Diving Instruction School,3,28,11
Place,Sculpture-Studded Gardens,2,23,16
Place,Sea & Land,2,7,3
Place,Sea Of Crete,3,10,3
Place,Seacoast Defense Museum,3,21,8
Place,Seafood Grill,2,12,7
Place,Seafood Restaurant,2,17,7
Place,Seagrass Bed,2,11,8
Place,Seal Sanctuary,2,13,4
Place,Seaside Cabins,2,13,7
Place,Seaside Cliff,2,12,7
Place,Seaside Cliffs,2,13,7
Place,Seaside Destinations,2,19,7
Place,Seaside Hideaway,2,15,7
Place,Seaside Lagoon,2,13,7
Place,Seaside Locales,2,14,7
Place,Seaside Locals,2,13,7
Place,Seaside Resort,2,13,7
Place,Seaside Town,2,11,7
Place,Seaside Village,2,14,7
Place,Seaside Villages,2,15,7
Place,Seasonal Forest,2,14,8
Place,Secluded Beach,2,13,8
Place,Secluded Hiking Trails,3,20,8
Place,Secluded Mountain Retreat,3,23,8
Place,Secluded Private Beach,3,20,8
Place,Secluded Property,2,16,8
Place,Secluded Riverside Property,3,25,8
Place,Secluded Sandy Cove,3,17,8
Place,Secluded Unspoiled Beaches,3,24,8
Place,Secluded Villa,2,13,8
Place,Secluded White-Sand Beaches,3,24,8
Place,Secluded Woodland Paths,3,21,8
Place,Second Base,2,10,6
Place,Secondary Sources,2,16,9
Place,Second-Hand Booksellers,2,21,10
Place,Secondhand Bookshop,2,18,10
Place,Secondhand Market,2,16,10
Place,Secondhand Shop,2,14,10
Place,Secret Attic,2,11,6
Place,Secret Headquarters,2,18,6
Place,Secret Hideaway,2,14,6
Place,Secret Hideout,2,13,6
Place,Secret Hiding Place,3,17,6
Place,Secret Honeymoon Location,3,23,6
Place,Secret Passage,2,13,6
Place,Secret Passageway,2,16,6
Place,Secret Spaces,2,12,6
Place,Secular Gothic Buildings,3,22,7
Place,Secured Perimeter,2,16,7
Place,Security Area,2,12,8
Place,Security Checkpoint,2,18,8
Place,Self-Serve Ice-Cream Bar,3,20,9
Place,Self-Serving Home,2,15,11
Place,Self-Sustaining Home,2,18,14
Place,Semiprivate Gaming Area,3,21,11
Place,Sensational Islands Of The World,5,28,11
Place,Serene Beach,2,11,6
Place,Serene Beach Town,3,15,6
Place,Serene Beaches,2,13,6
Place,Serene Luxurious Retreats,3,23,6
Place,Serene Sea,2,9,6
Place,Serene Spa,2,9,6
Place,Service Elevator,2,15,7
Place,Seven Kingdoms Of Westeros,4,23,5
Place,Several Small Gift Shops,4,21,7
Place,Sewage Plant,2,11,6
Place,Shaded Front Porch,3,16,6
Place,Shaded Horse Trails,3,17,6
Place,Shaded Pavilion,2,14,6
Place,Shaded Picnic Area,3,16,6
Place,Shaded Walking Trail,3,18,6
Place,Shady Backyard,2,13,5
Place,Shady Courtyard,2,14,5
Place,Shady Outdoor Spaces,3,18,5
Place,Shady Patches Of Grass,4,19,5
Place,Shady Picnic Groves,3,17,5
Place,Shady Spot,2,9,5
Place,Shantytown,1,10,10
Place,Shared Space,2,11,6
Place,Shark-Infested Waters,2,19,13
Place,Sheep Farm,2,9,5
Place,Sheer Cliffs,2,11,5
Place,Sherwood Forest,2,14,8
Place,Shimmering Aqua Seas,3,18,10
Place,Shining Seas,2,11,7
Place,Shinto Shrines,2,13,6
Place,Ship's Bowel,2,10,5
Place,Ship's College Course,3,18,5
Place,Ship's Stateroom,2,14,5
Place,Shipping & Receiving Window,3,23,8
Place,Shipping And Receiving Window,4,26,8
Place,Shipwreck,1,9,9
Place,Shipyards,1,9,9
Place,Shooting Gallery,2,15,8
Place,Shop Around,2,10,4
Place,Shophouses,1,10,10
Place,Shopping Arcade,2,14,8
Place,Shopping Area,2,12,8
Place,Shopping Bag,2,11,8
Place,Shopping Destinations,2,20,8
Place,Shopping District,2,16,8
Place,Shopping In A Sporting Goods Store,6,29,8
Place,Shopping In A Sporting-Goods Store,5,29,8
Place,Shopping Mall,2,12,8
Place,Shopping Malls,2,13,8
Place,Shopping Outlet,2,14,8
Place,Shops & Boutiques,2,14,5
Place,Shops & Museums,2,12,5
Place,Shops And Boutiques,3,17,5
Place,Shortgrass Prairies,2,18,10
Place,Shotz Brewery,2,12,5
Place,Shoulder Of The Road,4,17,8
Place,Showroom,1,8,8
Place,Shrublands,1,10,10
Place,Shy's Hill,2,8,4
Place,Sidewalk Cafe,2,12,8
Place,Sidewalk Cafes,2,13,8
Place,Sign-In Desk,2,10,6
Place,Silicon Valley,2,13,7
Place,Silver Dollar City In Missouri,5,26,6
Place,Singapore,1,9,9
Place,Single -Family Home,3,16,6
Place,Single-Family Home,2,16,12
Place,Single-Room Bungalow,2,18,10
Place,Singles Bars,2,11,7
Place,Single-Track Trails,2,17,11
Place,Sinking Stream,2,13,7
Place,Sister Cities,2,12,6
Place,Sit-Down Restaurant,2,17,7
Place,Sitting With The Grownups,4,22,7
Place,Six-Story Shopping Mall,3,20,8
Place,Sixteen Boroughs,2,15,7
Place,Skate Park,2,9,5
Place,Skateboard Park,2,14,10
Place,Skating Park,2,11,7
Place,Ski Communities,2,14,3
Place,Ski Lodge,2,8,3
Place,Ski Resort,2,9,3
Place,Ski Resort In Telluride Colorado,5,28,3
Place,Ski Shop,2,7,3
Place,Sky Bridge,2,9,3
Place,Sky-Lit Mineral Pool,3,17,6
Place,Skyscraper,1,10,10
Place,Slaphappy,1,9,9
Place,Sleeping Soundly,2,15,8
Place,Sleepy Alpine Town,3,16,6
Place,Sleepy Community,2,15,6
Place,Sleepy Hollow,2,12,6
Place,Sleepy Ski Town,3,13,6
Place,Sleepy Southern Coast,3,19,6
Place,Sleepy Village,2,13,6
Place,Slick Arty Cocktail Bars,4,21,5
Place,Slide Rock State Park,4,18,5
Place,Slopeside Locations,2,18,9
Place,Small Airstrip,2,13,5
Place,Small Bohemian Cafes,3,18,5
Place,Small Business Districts,3,22,5
Place,Small Bustling Resort Towns,4,24,5
Place,Small Charming Towns,3,18,5
Place,Small Cities,2,11,5
Place,Small Communities,2,16,5
Place,Small Cottage,2,12,5
Place,Small Coves,2,10,5
Place,Small Farm,2,9,5
Place,Small Fishing Villages,3,20,5
Place,Small Internet Cafes,3,18,5
Place,Small Intimate Movie Theaters,4,26,5
Place,Small Island City,3,15,5
Place,Small Jazz Clubs,3,14,5
Place,Small Kitchen,2,12,5
Place,Small Lodges,2,11,5
Place,Small Mountain Ranges,3,19,5
Place,Small Private Islands,3,19,5
Place,Small Seaside Town,3,16,5
Place,Small Seating Area,3,16,5
Place,Small Space,2,10,5
Place,Small Theaters,2,13,5
Place,Small Town,2,9,5
Place,Small Video-Game Arcade,3,20,5
Place,Small Wooden Houses,3,17,5
Place,Smart Home,2,9,5
Place,Smith Tower Condo,3,15,5
Place,Smithsonian Institute,2,20,11
Place,Smoky Eye Shadow,3,14,5
Place,Snack Bar,2,8,5
Place,Snake Pit,2,8,5
Place,Snorkeling Spot,2,14,10
Place,Snow Capped Mountains,3,19,4
Place,Snow Fort,2,8,4
Place,Snow Igloo,2,9,4
Place,Snow Lodge,2,9,4
Place,Snow-Capped Hills,2,15,10
Place,Snowcapped Mountains,2,19,10
Place,Snow-Capped Mountains,2,19,10
Place,Snowcapped Mountaintop,2,21,10
Place,Snowcapped Peaks,2,15,10
Place,Snowcapped Summits,2,17,10
Place,Snow-Covered Forest,2,17,11
Place,Snow-Covered Mountain Ranges,3,25,11
Place,Snow-Covered Roads,2,16,11
Place,Snowmobile Tour,2,14,10
Place,Snowmobile Trails,2,16,10
Place,Snowslide Gulch Trailhead,3,23,9
Place,So Many Resorts,3,13,2
Place,Soccer Field,2,11,6
Place,Soccer Stadium,2,13,6
Place,Soccer Stadium Full Of Fans,5,23,6
Place,Social Clubs,2,11,6
Place,Social Security Office,3,20,6
Place,Soda Aisle,2,9,4
Place,Soda Fountain,2,12,4
Place,Soft Cheese & Crackers With Wine,5,26,4
Place,Solar Observatory,2,16,5
Place,Solar Powered Farm,3,16,5
Place,Solar-Powered Farm,2,16,12
Place,Sold-Out Concert,2,14,7
Place,Sold-Out Concert Hall,3,18,7
Place,Sonic Drive In,3,12,5
Place,Sonic Drive-In,2,12,5
Place,Soothing Elevator Music,3,21,8
Place,Soothing Mountain Stream,3,22,8
Place,Sophisticated Outposts,2,21,13
Place,Sophisticated Restaurants,2,24,13
Place,South American City,3,17,5
Place,Southern Hemisphere,2,18,8
Place,Southern Oregon Lake Country,4,25,8
Place,Souvenir Shop,2,12,8
Place,Souvenir Shops,2,13,8
Place,Souvenir Stand,2,13,8
Place,Souvenir Store,2,13,8
Place,Sovereign Nation,2,15,9
Place,Spa Hideaway,2,11,3
Place,Spa Hotels,2,9,3
Place,Spa Lounge,2,9,3
Place,Spa Village,2,10,3
Place,Space Station,2,12,5
Place,Spaceport,1,9,9
Place,Spacious Apartment,2,17,8
Place,Spacious Dining Hall,3,18,8
Place,Spacious Family Room,3,18,8
Place,Spacious Home,2,12,8
Place,Spacious Locker Romms,3,19,8
Place,Spacious New Resort Development,4,28,8
Place,Spacious Office Lobby,3,19,8
Place,Spacious Picnic Area,3,18,8
Place,Spacious Townhouse,2,17,8
Place,Spanish Harlem,2,13,7
Place,Spanish Mission,2,14,7
Place,Spare Bedroom,2,12,5
Place,Sparsely Populated Islands,3,24,8
Place,Speaker Of The House,4,17,7
Place,Special Destination,2,18,7
Place,Special Territory Of Chile,4,23,7
Place,Speciality- Cheese Shop,3,20,10
Place,Specialty Coffee Shops,3,20,9
Place,Specialty Restaurants,2,20,9
Place,Specialty Shops,2,14,9
Place,Specialty Stores,2,15,9
Place,Specialty-Coffee Shops,2,20,15
Place,Specialty-Food Section,2,20,13
Place,Spectacular Ballrooms,2,20,11
Place,Spectacular Coastlines,2,21,11
Place,Spectacular Mountain Ranges,3,25,11
Place,Spectacular National Park,3,23,11
Place,Spectacular Show Room,3,19,11
Place,Spellbinding Locations,2,21,12
Place,Splash Mountain,2,14,6
Place,Splash Park,2,10,6
Place,Spooky Graveyard,2,15,6
Place,Spooky Swamp,2,11,6
Place,Sporting - Goods Outlet,3,19,8
Place,Sporting Goods Outlet,3,19,8
Place,Sporting Goods Store,3,18,8
Place,Sporting-Goods Outlet,2,19,13
Place,Sporting-Goods Store,2,18,13
Place,Sports & Concert Arena,3,18,6
Place,Sports & Fitness Clubs,3,18,6
Place,Sports Arena,2,11,6
Place,Sports Bar,2,9,6
Place,Sports Bar & Grill,3,14,6
Place,Sports Facilities,2,16,6
Place,Sports Hall Of Fame,4,16,6
Place,Sports Venue,2,11,6
Place,Spotless Home,2,12,8
Place,Sprawling City,2,13,9
Place,Sprawling Country Parks,3,21,9
Place,Sprawling Family-Friendly Resort,3,29,9
Place,Sprawling Family-Friendly Resorts,3,30,9
Place,Sprawling Forest,2,15,9
Place,Sprawling Marble Atriums,3,22,9
Place,Sprawling Pine Forests,3,20,9
Place,Sprawling Property,2,17,9
Place,Sprawling Resorts,2,16,9
Place,Sprawling Suburbs,2,16,9
Place,Spreckels Lake,2,13,9
Place,Spring Break Destination,3,22,6
Place,Spruce Forests,2,13,6
Place,St George District,3,16,2
Place,St. Andrews Cathedral,3,18,2
Place,Staffing Agency,2,14,8
Place,Stalactite Cave,2,14,10
Place,Stalag Thirteen,2,14,6
Place,Stark Desert Highway,3,18,5
Place,Starter Home,2,11,7
Place,Starting Line,2,12,8
Place,State Capital,2,12,5
Place,State Capitol,2,12,5
Place,State Dining Room,3,15,5
Place,State Highway,2,12,5
Place,State Historic Park,3,17,5
Place,State Line,2,9,5
Place,State Of The Art Fitness Center,6,26,5
Place,State Park,2,9,5
Place,State Parks,2,10,5
Place,Stately Castles,2,14,7
Place,Stately Mansion,2,14,7
Place,State-Of-The-Art Adoption Facility,3,29,13
Place,State-Of-The-Art Boutique,2,21,13
Place,State-Of-The-Art Fitness Center,3,26,13
Place,State-Run Restaurants,2,19,8
Place,States & Countries,2,15,6
Place,Stationery Store,2,15,10
Place,Steak House,2,10,5
Place,Steak Restaurant,2,15,5
Place,Steam Room,2,9,5
Place,Steam Room & Sauna,3,14,5
Place,Steamboat Springs,2,16,9
Place,Steam-Powered Cider Mill,3,21,12
Place,Steep Gorge,2,10,5
Place,Steep Hill,2,9,5
Place,Steep Hillsides,2,14,5
Place,Steep Mountain Road,3,17,5
Place,Steep Mountains,2,14,5
Place,Still Waters,2,11,5
Place,Stomping Grounds Of Wildebeests,4,28,8
Place,Stone Castle,2,11,5
Place,Stone Courtyards,2,15,5
Place,Stone Quarry,2,11,5
Place,Stone-Build Village,2,17,10
Place,Storage Facility,2,15,7
Place,Storage Lockers,2,14,7
Place,Storage Shed,2,11,7
Place,Storage Unit,2,11,7
Place,Storage Warehouse,2,16,7
Place,Storefront Businesses,2,20,10
Place,Storybook Pavilions,2,18,9
Place,Storybook Princess Costume,3,24,9
Place,Storybook Quarters,2,17,9
Place,Stratosphere,1,12,12
Place,Straw- Thatched Tiki Hut,4,20,5
Place,Strawberry Farm,2,14,10
Place,Straw-Thatched Tiki Hut,3,20,13
Place,Street Corner,2,12,6
Place,Street-Side Food Stalls,3,20,10
Place,Strollable Waterfront Communities,3,31,10
Place,Stucco Bungalow,2,14,6
Place,Student Library,2,14,7
Place,Student Lounge,2,13,7
Place,Student Union,2,12,7
Place,Studio Apartment,2,15,6
Place,Studio Backlot,2,13,6
Place,Studio Commissary,2,16,6
Place,Studio Suite,2,11,6
Place,Study Hall,2,9,5
Place,Stuffy Room,2,10,6
Place,Stunning Beaches,2,15,8
Place,Stunning Beaches & Lush Gardens,4,26,8
Place,Stunning Coastlines,2,18,8
Place,Stunning Crescent Bays,3,20,8
Place,Stunning Eco-Resort,2,17,8
Place,Stunning Landscapes,2,18,8
Place,Stunning Show Rooms,3,17,8
Place,Stunning Trail,2,13,8
Place,Sturdy Livestock Pen,3,18,6
Place,Stylish Beach Hotel,3,17,7
Place,Stylish Boutique,2,15,7
Place,Stylish Shops & Restaurants,3,23,7
Place,Sublime Blue Lagoons,3,18,7
Place,Subterranean Parking Garage,3,25,12
Place,Subterranean Passageways,2,23,12
Place,Suburban Community,2,17,8
Place,Suburban Street,2,14,8
Place,Suburbia,1,8,8
Place,Suburbia Free Countryside,3,23,8
Place,Suburbs,1,7,7
Place,Subway Station,2,13,6
Place,Subway Tunnel,2,12,6
Place,Successful Chain Of Restaurants,4,28,10
Place,Sugar Plantation,2,15,5
Place,Sugar Refining Plant,3,18,5
Place,Sugarcane Plantation,2,19,9
Place,Sugarless Candy,2,14,9
Place,Sulfur Mine,2,10,6
Place,Summer Camp,2,10,6
Place,Summer Camps For Children,4,22,6
Place,Summer Cottage,2,13,6
Place,Summer Home,2,10,6
Place,Summer House,2,11,6
Place,Summer Residence,2,15,6
Place,Summer Riverboat Clubs,3,20,6
Place,Summer Townhouse,2,15,6
Place,Summit Trail,2,11,6
Place,Sun Filled Resort,3,15,3
Place,Sun-Drenched Beaches,2,18,11
Place,Sun-Drenched Coasts,2,17,11
Place,Sun-Drenched Shoreline,2,20,11
Place,Sun-Drenched Vineyards,2,20,11
Place,Sun-Filled Resort,2,15,9
Place,Sunflower-Dotted Countryside,2,26,15
Place,Sunglasses Park,2,14,10
Place,Sunglasses Shop,2,14,10
Place,Sunny College Campuses,3,20,5
Place,Sunny Courtyard,2,14,5
Place,Sunny Outdoor Patio,3,17,5
Place,Sunny Surf Towns,3,14,5
Place,Sunny Vineyards,2,14,5
Place,Supermarket,1,11,11
Place,Supermarket Checkout,2,19,11
Place,Supermarket Express Line,3,22,11
Place,Supermarket's International Aisle,3,30,12
Place,Superstore,1,10,10
Place,Supply Closet,2,12,6
Place,Surf Shop,2,8,4
Place,Surfers' Paradise,2,15,7
Place,Surrounding Communities,2,22,11
Place,Surrounding Countryside,2,22,11
Place,Sushi Bar,2,8,5
Place,Sushi Bars,2,9,5
Place,Sushi Restaurant,2,15,5
Place,Swampland,1,9,9
Place,Swamps & Marshes,2,13,6
Place,Swank Bistro,2,11,5
Place,Swanky Cafe,2,10,6
Place,Swanky Department Stores,3,22,6
Place,Swanky Hotel,2,11,6
Place,Swanky Hotel Rooms,3,16,6
Place,Swanky Hotels & Resorts,3,19,6
Place,Swim Lanes,2,9,4
Place,Swimming Area,2,12,8
Place,Swimming Beach,2,13,8
Place,Swimming Hole,2,12,8
Place,Swimming Pool,2,12,8
Place,Swiss Chalet,2,11,5
Place,Sydney Harbour,2,13,6
Place,Sydney Tower,2,11,6
Place,Synagogue,1,9,9
Place,Taco Stand,2,9,4
Place,Tailor Shop,2,10,6
Place,Tall Building,2,12,4
Place,Tall Granite Mountains,3,20,4
Place,Tallest Building In The World,5,25,7
Place,Tallgrass Prairies,2,17,9
Place,Tanning Booth,2,12,7
Place,Tanning Salon,2,12,7
Place,Tantalizing Neighborhoods,2,24,11
Place,Tapas Restaurant,2,15,5
Place,Taronga Zoo,2,10,7
Place,Taste Mexico,2,11,5
Place,Tasting Room,2,11,7
Place,Tattoo Shop,2,10,6
Place,Tattoo Shops,2,11,6
Place,Taxi Stand,2,9,4
Place,Taxi Stations,2,12,4
Place,Tea Garden,2,9,3
Place,Tea Pavilion,2,11,3
Place,Teachers College,2,15,8
Place,Teachers' Lounge,2,14,8
Place,Teahouse Near A Pond,4,17,8
Place,Teak-Lined Deck,2,13,9
Place,Team Locker Room,3,14,4
Place,Tecate Mexico,2,12,6
Place,Technical College,2,16,9
Place,Teen-Driving School,2,17,11
Place,Television Station,2,17,10
Place,Television Studio,2,16,10
Place,Temperate Grasslands,2,19,9
Place,Temperate Rainforest,2,19,9
Place,Temple Lodgings,2,14,6
Place,Temple Of Jupiter Optimus Maximus,5,29,6
Place,Tented Camps,2,11,6
Place,Terrace,1,7,7
Place,Terrace Cafe,2,11,7
Place,Terraced Gardens,2,15,8
Place,Terrestrial Planet,2,17,11
Place,Test Kitchen,2,11,4
Place,Textile Mill,2,11,7
Place,Thanksgiving Day Parade,3,21,12
Place,The Amazon Basin,3,14,3
Place,The Amazon Region Of Peru,5,21,3
Place,The Amazonian Rainforest,3,22,3
Place,The American Frontier,3,19,3
Place,The Argentine National Congress,4,28,3
Place,The Australian Outback,3,20,3
Place,The Baby's Room,3,12,3
Place,The Big Top,3,9,3
Place,The Black Dahlia,3,14,3
Place,The Bronze Door At The Entrance To The Vatican,9,38,3
Place,The Capital City Of Japan,5,21,3
Place,The Capital Of Argentina,4,21,3
Place,The Capital Of India,4,17,3
Place,The Capital Of Italy,4,17,3
Place,The Capital Of Japan,4,17,3
Place,The Capital Of Massachusetts,4,25,3
Place,The Captain's Cabin,3,16,3
Place,The Castle Of Dragonstone,4,22,3
Place,The Cave Of The Cyclops,5,19,3
Place,The Charles River,3,15,3
Place,The Cinema,2,9,3
Place,The City Of Brotherly Love,5,22,3
Place,The City- State Of Troy,5,18,3
Place,The City-State Of Troy,4,18,3
Place,The Coolest Room In The House,6,24,3
Place,The Deep End Of The Pool,6,19,3
Place,The Eiffel Tower,3,14,3
Place,The Endpoint Of The Appalachian Trail,6,32,3
Place,The Entrance To A Castle,5,20,3
Place,The Eternal City,3,14,3
Place,The Fast Lane,3,11,3
Place,The Fifteenth State,3,17,3
Place,The Fifth Dimension,3,17,3
Place,The Fiftieth State,3,16,3
Place,The Finest Hotels,3,15,3
Place,The Floating City,3,15,3
Place,The Flower District,3,17,3
Place,The Foothills Of A Mountain,5,23,3
Place,The Forbidden City,3,16,3
Place,The French Riviera,3,16,3
Place,The Front Porch,3,13,3
Place,The Front Row,3,11,3
Place,The Fun Never Stops!,4,16,3
Place,The Galapagos Islands,3,19,3
Place,The Giant Forest,3,14,3
Place,The Golden State,3,14,3
Place,The Great Barrier Reef,4,19,3
Place,The Green Hillside Of Ireland,5,25,3
Place,The Gulf Coast,3,12,3
Place,The Heart Of The Jungle,5,19,3
Place,The Heartland Of America,4,21,3
Place,The Heartland Of Europe,4,20,3
Place,The High Valley,3,13,3
Place,The Honeymoon Suite,3,17,3
Place,The Island Of Dragonstone,4,22,3
Place,The Local Deli,3,12,3
Place,The Local Watering Hole,4,20,3
Place,The Lost And Found Department,5,25,3
Place,The Lost City Of Atlantis,5,21,3
Place,The Magic Kingdom,3,15,3
Place,The Magnificent Mile,3,18,3
Place,The Many Moons Of Jupiter,5,21,3
Place,The Mob Museum,3,12,3
Place,The Moons Of Jupiter,4,17,3
Place,The Most Beautiful Beaches In The World,7,33,3
Place,The Nation's Best Hospitals,4,23,3
Place,The National Gallery In London,5,26,3
Place,The Nations Best Hospitals,4,23,3
Place,The New England States,4,19,3
Place,The Open Road,3,11,3
Place,The Palace Gardens,3,16,3
Place,The Prospect Studios,3,18,3
Place,The Public Library,3,16,3
Place,The Red Planet,3,12,3
Place,The Rio Grande,3,12,3
Place,The River Styx,3,12,3
Place,The Rocky Mountains,3,17,3
Place,The Royal Clock,3,13,3
Place,The Royal Palace,3,14,3
Place,The Scenic Oregon Coast,4,20,3
Place,The Seven Kingdoms,3,16,3
Place,The Shallow End Of The Pool,6,22,3
Place,The Shores Of The Great Lake,6,23,3
Place,The Shores Of The Great Lakes,6,24,3
Place,The Sidelines,2,12,3
Place,The Skydeck At Willis Tower,5,23,3
Place,The Smallest Planet Mercury,4,24,3
Place,The Starting Line,3,15,3
Place,The Strike Zone,3,13,3
Place,The Sunny Side Of The Island,6,23,3
Place,The Sunshine State,3,16,3
Place,The Third Planet From The Sun: Earth,7,29,3
Place,The Town Of Bedrock,4,16,3
Place,The U.S. Mint,3,9,3
Place,The Underworld,2,13,3
Place,The Usual Hangout,3,15,3
Place,The Valleys Of The Alps,5,19,3
Place,The Viking World,3,14,3
Place,The Wall In Westeros,4,17,3
Place,The West End,3,10,3
Place,The West Indies,3,13,3
Place,The Wharf Theater,3,15,3
Place,The White House Rose Garden,5,23,3
Place,The Wilderness Of Scandinavia,4,26,3
Place,The Windy City,3,12,3
Place,The Wonka Bar,3,11,3
Place,The World's Oldest Restaurant,4,25,3
Place,The Wow Factor,3,12,3
Place,The Yucatan Peninsula,3,19,3
Place,Theater Alley,2,12,7
Place,Theater Box Office,3,16,7
Place,Theater District,2,15,7
Place,Theater-In The-Round,2,17,9
Place,Theater-In-The- Round,2,17,12
Place,Theater-In-The-Round,1,17,17
Place,Theaters & Cinemas,2,15,8
Place,Theatrical Stages,2,16,10
Place,Theme Park,2,9,5
Place,Theme Parks,2,10,5
Place,Themed Villas,2,12,6
Place,Thick Woods,2,10,5
Place,Third Base,2,9,5
Place,Third Most Popular Destination In The World,7,37,5
Place,Third-Floor Apartment,2,19,10
Place,Thirteen Original Colonies,3,24,8
Place,Three Bedroom House,3,17,5
Place,Three-Bedroom Condominium,2,23,12
Place,Three-Bedroom House,2,17,12
Place,Three-Car Garage,2,14,8
Place,Three-Car-Garage,1,14,14
Place,Thrift Shop,2,10,6
Place,Thrift Store,2,11,6
Place,Thriving Downtown Area,3,20,8
Place,Thriving Outdoor Markets,3,22,8
Place,Throwing Circle,2,14,8
Place,Tiber River,2,10,5
Place,Ticket Booth,2,11,6
Place,Tidal Basin,2,10,5
Place,Tidal Marsh,2,10,5
Place,Tide Pool,2,8,4
Place,Tidepools,1,9,9
Place,Tight Crawlspaces,2,16,5
Place,Tiki Bar,2,7,4
Place,Time-Share Properties,2,19,9
Place,Time-Shared Properties,2,20,10
Place,Time-Warped Villages,2,18,10
Place,Tinseltown,1,10,10
Place,Tiny Apartment,2,13,4
Place,Tiny Compound,2,12,4
Place,Tiny Storefronts,2,15,4
Place,Tiny Village,2,11,4
Place,Tiny Walking Lanes,3,16,4
Place,Tobacco Plantations,2,18,7
Place,Toddler Play Area,3,15,7
Place,Toddler-Play Area,2,15,11
Place,Tokyo Japan,2,10,5
Place,Toll Roads,2,9,4
Place,Tons Of Restaurants & Bars,4,21,4
Place,Toothy Blue Mountains,3,19,6
Place,Top Floor,2,8,3
Place,Top Of The Hill,4,12,3
Place,Top Tourist Destinations,3,22,3
Place,Top-Notch Beaches,2,15,8
Place,Top-Notch Restaurants,2,19,8
Place,Top-Rated Golf Course,3,18,8
Place,Top-Rated Luxury Hotel,3,19,8
Place,Toronto Islands,2,14,7
Place,Toronto Stock Exchange,3,20,7
Place,Tourism Office,2,13,7
Place,Tourist & Recreation Areas,3,22,7
Place,Tourist Destination,2,18,7
Place,Tourist Friendly Destination,3,26,7
Place,Tourist Information Center,3,24,7
Place,Tourist Trap,2,11,7
Place,Tourist-Friendly Destination,2,26,15
Place,Tourist-Friendly Destinations,2,27,15
Place,Touristy Shops,2,13,8
Place,Tow Away Zone,3,11,3
Place,Tow-Away Zone,2,11,7
Place,Towering Fortresses,2,18,8
Place,Towering Peaks,2,13,8
Place,Towering Residential Apartment Complexes,4,37,8
Place,Town By The Sea,4,12,4
Place,Town Hall,2,8,4
Place,Town Square,2,10,4
Place,Township,1,8,8
Place,Toyota Manufacturing Plant,3,24,6
Place,Trade School,2,11,5
Place,Trading Post,2,11,7
Place,Trading Routes,2,13,7
Place,Traditional Dutch Farmhouse,3,25,11
Place,Traditional Dutch Pubs,3,20,11
Place,Traditional English Pub,3,21,11
Place,Traditional Japanese Stroll Garden,4,31,11
Place,Traditional Pavilions,2,20,11
Place,Traditional Private Villa,3,23,11
Place,Traditionally Decorated Guest Rooms,4,32,13
Place,Trailhead,1,9,9
Place,Trailing Petunias,2,16,8
Place,Trails & Beaches,2,13,6
Place,Train Depot,2,10,5
Place,Training Camp,2,12,8
Place,Trampoline Park,2,14,10
Place,Tranquil Botanical Gardens,3,24,8
Place,Tranquil Hillsides,2,17,8
Place,Tranquil Setting Of Merrion Square,5,30,8
Place,Tranquil Tatami-Mat Room,3,21,8
Place,Transamerica Pyramid,2,19,12
Place,Transylvania,1,12,12
Place,Trapeze School,2,13,7
Place,Traveling Abroad,2,15,9
Place,Treasury Museum,2,14,8
Place,Treatment Room,2,13,9
Place,Treaty Room,2,10,6
Place,Tree-Filled Boulevards,2,20,10
Place,Tree-Laden Streets,2,16,9
Place,Tree-Lined Residential Street,3,26,9
Place,Tree-Lined Side Street,3,19,9
Place,Tree-Lined Walkway,2,16,9
Place,Trenches & Ditches,2,15,8
Place,Trendsetting Nightspots,2,22,12
Place,Trendy Boutique,2,14,6
Place,Trendy Cities,2,12,6
Place,Trendy Jazz Club,3,14,6
Place,Trendy Locale,2,12,6
Place,Trendy Neighborhood,2,18,6
Place,Trendy Neighborhoods,2,19,6
Place,Trendy Neighbourhoods,2,20,6
Place,Trendy New Restaurant,3,19,6
Place,Trendy Nightclub,2,15,6
Place,Trendy Pizzeria,2,14,6
Place,Trendy Restaurant,2,16,6
Place,Trendy Restaurants,2,17,6
Place,Trendy Shops,2,11,6
Place,Trendy Shops And Restaurants,4,25,6
Place,Trendy Sports Bar,3,15,6
Place,Trendy Sports Bars,3,16,6
Place,Trendy Travel Destinations,3,24,6
Place,Trendy Travel Restaurants,3,23,6
Place,Trendy Yoga Studio,3,16,6
Place,Trial Court,2,10,5
Place,Tribal Village,2,13,6
Place,Trip Of A Lifetime,4,15,4
Place,Tropical Archipelago,2,19,8
Place,Tropical Forests,2,15,8
Place,Tropical Forests & Amazing Islands,4,29,8
Place,Tropical Freshwater Lake,3,22,8
Place,Tropical Garden Retreat,3,21,8
Place,Tropical Jungle,2,14,8
Place,Tropical Jungles,2,15,8
Place,Tropical Oasis,2,13,8
Place,Tropical Paradise,2,16,8
Place,Tropical Playground,2,18,8
Place,Tropical Rainforest,2,18,8
Place,Tropical Retreats,2,16,8
Place,Tropical Savanna,2,15,8
